place,mag,time,felt
"100km E of Hengchun, Taiwan",4.6,1401296289540,0.91
"35km NNE of Taitung City, Taiwan",4.9,1401021672790,0.95
Taiwan,4.2,1400865943850,1.28
"26km SSW of Hualian, Taiwan",5.6,1400631672900,0.84
"10km SSE of Hualian, Taiwan",4.8,1399207415460,0.84
"24km NNE of Hualian, Taiwan",4.2,1399132994810,0.4
"64km SSW of Hualian, Taiwan",4.3,1398443584910,1.42
"25km S of Buli, Taiwan",4,1398378200200,1.14
"63km NNE of Taitung City, Taiwan",4,1397261463600,1.71
"65km NNE of Taitung City, Taiwan",4.3,1395836636980,0.67
"12km NE of Yilan, Taiwan",4,1395383104900,0.71
"51km E of Yujing, Taiwan",4.2,1395334043800,1.08
"72km SSE of Taitung City, Taiwan",4.9,1394913876400,0.75
"17km SW of Yilan, Taiwan",4.8,1393014316440,0.92
"22km SE of Yujing, Taiwan",4.5,1392480857080,1.16
"27km SW of Taitung City, Taiwan",4.5,1392420702170,1.17
"11km NNE of Taipei, Taiwan",4.3,1392136262400,0.69
"59km NNE of Taitung City, Taiwan",4.3,1390961691300,0.74
"30km SSW of Hualian, Taiwan",4.5,1390619770710,1.25
"33km SSW of Hualian, Taiwan",4.3,1390408117190,1.09
"19km N of Taitung City, Taiwan",4.1,1389740803300,1.1
"17km N of Taitung City, Taiwan",4.5,1389729005730,0.85
"15km N of Taitung City, Taiwan",4.8,1389724692630,0.97
"14km S of Buli, Taiwan",4.5,1389717867190,1
"39km SSW of Hualian, Taiwan",3.9,1387957135260,1.18
"22km SSE of Taitung City, Taiwan",4.5,1387916954820,1.04
"30km NE of Hualian, Taiwan",4.4,1387344575300,0.51
"32km E of Taitung City, Taiwan",4,1387020670400,0.8
"45km ENE of Hualian, Taiwan",4.4,1385197271340,0.67
"15km NE of Hualian, Taiwan",4.3,1383809500840,0.91
"7km NE of Hualian, Taiwan",4.6,1383809110530,0.71
"14km SSW of Hualian, Taiwan",4.4,1383519370540,0.97
"36km SSW of Hualian, Taiwan",4.5,1383450194210,0.47
"35km SSW of Hualian, Taiwan",4.4,1383263545210,0.87
"41km SSW of Hualian, Taiwan",4.4,1383247633370,0.82
"48km SSW of Hualian, Taiwan",3.9,1383235518410,0.9
